customer_id,full_name,phone_number,email,registration_date,registration_channel,home_store_id,current_tier_id
1,Phan Minh,917869910,customer_1@example.com,2023-07-25,pos,1,TIER-1
2,Le Hai,984593961,,2026-08-21,app,16,TIER-1
3,Nguyen Binh,982772208,customer_3@example.com,2025-01-31,app,11,TIER-1
4,Tran Giang,981286543,customer_4@example.com,2025-09-15,pos,17,TIER-1
5,Phan Dung,989864260,customer_5@example.com,2022-02-05,pos,8,TIER-1
6,Dang Chau,943046464,,2022-10-19,pos,2,TIER-1
7,Huynh Minh,998231132,,2021-08-03,pos,17,TIER-1
8,Bui Nam,945650176,,2025-01-23,app,22,TIER-1
9,Tran Hai,993370583,,2025-02-07,app,4,TIER-1
10,Hoang Giang,919233013,,2025-03-09,pos,12,TIER-1
11,Ho Yen,982909480,,2020-08-12,pos,20,TIER-1
12,Tran Em,984437458,customer_12@example.com,2026-01-05,app,22,TIER-1
13,Dang Hai,984252420,customer_13@example.com,2025-01-29,app,10,TIER-1
14,Vo Vy,937326368,,2022-06-25,pos,9,TIER-1
15,Ngo Minh,916818112,customer_15@example.com,2022-05-09,pos,14,TIER-1
16,Bui Minh,910475894,,2022-01-23,pos,5,TIER-1
17,Vo Anh,969302158,,2023-03-24,pos,14,TIER-1
18,Duong Em,920099059,,2024-02-27,pos,23,TIER-1
19,Vo Em,914835614,,2024-10-06,pos,19,TIER-1
20,Duong Binh,927105448,customer_20@example.com,2023-08-09,pos,12,TIER-1
21,Vo Trang,999514287,customer_21@example.com,2025-04-18,app,25,TIER-1
22,Ngo Giang,930743797,,2021-11-14,pos,8,TIER-1
23,Duong Phong,965337219,customer_23@example.com,2023-04-01,pos,24,TIER-1
24,Hoang Giang,999913412,,2023-07-30,pos,8,TIER-1
25,Ngo Vy,924508349,,2024-12-25,pos,2,TIER-1
26,Pham Anh,956930359,,2025-01-27,pos,8,TIER-1
27,Ngo Chau,935921441,,2022-12-04,pos,9,TIER-1
28,Bui Phong,957130035,,2024-05-22,pos,13,TIER-1
29,Nguyen Dung,945059710,customer_29@example.com,2025-03-01,pos,9,TIER-1
30,Phan Yen,968326160,,2020-11-01,pos,11,TIER-1
31,Nguyen Yen,944188276,customer_31@example.com,2025-01-29,app,14,TIER-1
32,Bui Phong,936445607,,2022-10-03,pos,3,TIER-1
33,Do Nam,952133044,,2021-11-16,pos,4,TIER-1
34,Hoang Em,964813568,,2026-09-17,app,23,TIER-1
35,Dang Nam,960888017,,2026-04-09,app,6,TIER-1
36,Dang Phong,938210242,,2025-01-01,app,19,TIER-1
37,Vo Vy,969295515,,2023-08-27,pos,7,TIER-1
38,Bui Phong,998429450,customer_38@example.com,2021-03-28,pos,17,TIER-1
39,Le Anh,951663795,customer_39@example.com,2025-01-31,app,7,TIER-1
40,Ngo Chau,942862209,,2024-01-24,pos,20,TIER-1
41,Pham Son,965625330,,2021-08-22,pos,19,TIER-1
42,Do Anh,963640499,customer_42@example.com,2024-09-10,pos,21,TIER-1
43,Vo Tuan,967062156,customer_43@example.com,2020-02-24,pos,23,TIER-1
44,Bui Yen,926288475,,2026-01-26,app,15,TIER-1
45,Duong Tuan,989920257,,2022-10-14,pos,25,TIER-1
46,Do Vy,983534128,,2025-09-16,app,6,TIER-1
47,Hoang Yen,944788100,,2023-08-19,pos,21,TIER-1
48,Tran Nam,994120751,customer_48@example.com,2024-09-05,pos,15,TIER-1
49,Tran Em,946468984,,2024-04-30,pos,18,TIER-1
50,Do Hai,941039390,,2022-03-19,pos,5,TIER-1
51,Nguyen Hai,954410148,,2026-02-02,app,14,TIER-1
52,Ngo Son,988393811,,2025-07-19,pos,1,TIER-1
53,Ngo Trang,957212267,customer_53@example.com,2026-09-02,app,13,TIER-1
54,Vu Linh,983300637,,2026-10-03,app,8,TIER-1
55,Do Giang,955114543,,2025-01-16,app,13,TIER-1
56,Dang Anh,993517915,,2026-08-28,pos,13,TIER-1
57,Le Binh,996268397,,2021-02-12,pos,15,TIER-1
58,Huynh Phong,960882459,,2022-05-14,pos,15,TIER-1
59,Hoang Chau,947346970,,2020-07-13,pos,14,TIER-1
60,Huynh Linh,912601580,,2023-08-29,pos,2,TIER-1
61,Nguyen Anh,919209801,,2023-11-29,pos,21,TIER-1
62,Le Linh,936757737,,2023-05-07,pos,20,TIER-1
63,Ho Quang,939254705,,2025-01-22,app,9,TIER-1
64,Do Dung,991321540,,2023-03-27,pos,24,TIER-1
65,Duong Nam,951746937,customer_65@example.com,2023-03-25,pos,1,TIER-1
66,Pham Chau,960372847,,2024-10-21,pos,23,TIER-1
67,Ho Nam,994187049,customer_67@example.com,2021-10-31,pos,23,TIER-1
68,Vo Trang,985958181,,2025-11-04,pos,12,TIER-1
69,Huynh Anh,959737181,customer_69@example.com,2021-12-05,pos,21,TIER-1
