employee_id,full_name,position_id,position_name,store_id,hire_date,termination_date,contract_type,slot_seq
1,Hoang Minh Khang,1,Quan ly,1,2022-03-29,2023-05-31,full_time,1
2,Ly My Trang,1,Quan ly,1,2023-06-09,,full_time,1
3,Tran Minh Khang,2,Pha che,1,2022-03-29,2023-11-20,full_time,1
4,Ho My Chi,2,Pha che,1,2023-11-25,2025-01-14,full_time,1
5,Duong Van Long,2,Pha che,1,2025-01-26,2025-04-13,full_time,1
6,Ngo Quoc Hung,2,Pha che,1,2025-05-01,2025-07-17,full_time,1
7,Huynh Duc Phong,2,Pha che,1,2025-07-24,2025-09-07,full_time,1
8,Ly Kim Trang,2,Pha che,1,2025-09-13,,full_time,1
9,Bui Thu Yen,2,Pha che,1,2022-03-29,2023-05-22,full_time,2
10,Pham Quoc Hung,2,Pha che,1,2023-06-02,2024-12-15,full_time,2
11,Vo Thanh Tuan,2,Pha che,1,2024-12-27,2025-02-10,part_time,2
12,Hoang Thanh Hung,2,Pha che,1,2025-02-20,,full_time,2
13,Ho Minh Long,2,Pha che,1,2022-03-29,2024-06-21,full_time,3
14,Do Hong Ha,2,Pha che,1,2024-07-10,2024-10-26,full_time,3
15,Ngo Thi Huong,2,Pha che,1,2024-11-07,2025-02-06,full_time,3
16,Tran Minh Kien,2,Pha che,1,2025-02-12,2025-04-22,part_time,3
17,Ly Thanh Bao,2,Pha che,1,2025-05-07,2025-10-19,full_time,3
18,Dang Duc Phong,2,Pha che,1,2025-10-28,,full_time,3
19,Bui Anh Tuan,2,Pha che,1,2022-03-29,2022-12-12,full_time,4
20,Vo Van Nam,2,Pha che,1,2022-12-24,2023-04-20,part_time,4
21,Do Anh Kien,2,Pha che,1,2023-04-28,2024-07-03,full_time,4
22,Vo My Mai,2,Pha che,1,2024-07-10,2024-09-16,full_time,4
23,Ly Duc Phong,2,Pha che,1,2024-09-21,2025-02-25,full_time,4
24,Vo Van Phong,2,Pha che,1,2025-03-12,2025-10-06,full_time,4
25,Do Quoc Dat,2,Pha che,1,2025-10-16,2026-07-21,full_time,4
26,Dang My Linh,3,Thu ngan,1,2022-03-29,2023-11-27,full_time,1
27,Huynh Quoc Khang,3,Thu ngan,1,2023-12-12,2024-03-09,full_time,1
