lease_id,store_id,lease_start_date,lease_end_date,monthly_rent_vnd,landlord_name,is_current
1,1,2022-03-29,2024-02-29,87300000,Cong ty TNHH Dau tu XYZ,0
2,1,2024-03-01,,95500000,Cong ty TNHH Dau tu XYZ,1
3,2,2021-06-04,2023-11-30,167300000,Cong ty Co phan Dia oc ABC,0
4,2,2023-12-01,,183500000,Cong ty Co phan Dia oc ABC,1
5,3,2023-04-05,2025-03-31,83400000,Pham Van E,0
6,3,2025-04-01,,91400000,Pham Van E,1
7,4,2023-01-21,2025-06-30,159500000,Cong ty BDS Phuong Nam,0
8,4,2025-07-01,,170800000,Cong ty BDS Phuong Nam,1
9,5,2022-12-20,2024-01-31,93100000,Cong ty BDS Phuong Nam,0
10,5,2024-02-01,,99800000,Cong ty BDS Phuong Nam,1
11,6,2020-07-23,2022-06-30,62500000,Nguyen Van A,0
12,6,2022-07-01,,67300000,Nguyen Van A,1
13,7,2021-12-12,2023-11-30,57600000,Cong ty Co phan Dia oc ABC,0
14,7,2023-12-01,,61200000,Cong ty Co phan Dia oc ABC,1
15,8,2020-12-01,2021-12-31,127000000,Cong ty BDS Phuong Nam,0
16,8,2022-01-01,,136400000,Cong ty BDS Phuong Nam,1
17,9,2024-02-02,2026-04-30,77000000,Cong ty TNHH Dau tu XYZ,0
18,9,2026-05-01,,83800000,Cong ty TNHH Dau tu XYZ,1
19,10,2021-06-23,2023-05-31,185200000,Pham Van E,0
20,10,2023-06-01,,202400000,Pham Van E,1
21,11,2023-03-06,2025-02-28,68200000,Pham Van E,0
22,11,2025-03-01,,73600000,Pham Van E,1
23,12,2021-12-07,2023-03-31,82100000,Le Thi D,0
24,12,2023-04-01,,86700000,Le Thi D,1
25,13,2021-09-16,2022-12-31,142200000,Pham Van E,0
26,13,2023-01-01,,154100000,Pham Van E,1
27,14,2023-11-08,2024-12-31,121100000,Cong ty BDS Phuong Nam,0
28,14,2025-01-01,,127700000,Cong ty BDS Phuong Nam,1
29,15,2020-07-07,2021-12-31,66400000,Cong ty BDS Phuong Nam,0
30,15,2022-01-01,,72000000,Cong ty BDS Phuong Nam,1
31,16,2023-06-01,2025-09-30,150600000,Pham Van E,0
32,16,2025-10-01,,158300000,Pham Van E,1
33,17,2023-01-04,2025-01-31,68200000,Nguyen Van A,0
34,17,2025-02-01,,73800000,Nguyen Van A,1
35,18,2021-01-23,2023-03-31,93600000,Cong ty Co phan Dia oc ABC,0
36,18,2023-04-01,,98900000,Cong ty Co phan Dia oc ABC,1
37,19,2021-10-17,2023-03-31,133000000,Tran Thi B,0
38,19,2023-04-01,,140800000,Tran Thi B,1
39,20,2022-05-19,2024-09-30,166400000,Cong ty BDS Phuong Nam,0
40,20,2024-10-01,,179700000,Cong ty BDS Phuong Nam,1
41,21,2023-10-25,2025-10-31,127500000,Cong ty TNHH Dau tu XYZ,0
42,21,2025-11-01,,137400000,Cong ty TNHH Dau tu XYZ,1
43,22,2020-11-09,2022-10-31,65700000,Pham Van E,0
44,22,2022-11-01,,70800000,Pham Van E,1
45,23,2022-05-02,2024-05-31,74000000,Ho Ngoc C,0
46,23,2024-06-01,,79600000,Ho Ngoc C,1
47,24,2023-03-22,2025-08-31,118300000,Ho Ngoc C,0
48,24,2025-09-01,,127500000,Ho Ngoc C,1
49,25,2021-08-13,2023-01-31,57500000,Cong ty BDS Phuong Nam,0
50,25,2023-02-01,,63000000,Cong ty BDS Phuong Nam,1
